imdbID,Title,YearSinceRelease,AAMP Rating,Runtime,Genre,AvgDirectorRating,AvgWriterRating,AvgCastRating,imdbRating,Language,Country,Budget,Revenue
tt0100666,Spaced Invaders,26,PG,100,"Adventure, Comedy, Sci-Fi",5.9,5.3,5.4,5.3,English,USA,3000000,15369573
tt0100758,Teenage Mutant Ninja Turtles,26,PG,93,"Action, Adventure, Comedy",6.5,6.5,6.3,6.7,"English, French","USA, Hong Kong",13500000,201965915
tt0100802,Total Recall,26,R,113,"Action, Sci-Fi",6.6,6.5,5.9,7.5,English,USA,65000000,261317921
tt0100814,Tremors,26,PG-13,96,"Comedy, Horror, Sci-Fi",5.5,5.8,5.8,7.2,English,USA,11000000,48572000
tt0100828,The Two Jakes,26,R,137,"Crime, Drama, Mystery",6.1,6.2,6.2,6.1,English,USA,19000000,10000000
tt0100935,Wild at Heart,26,UNRATED,125,"Comedy, Crime, Thriller",7.4,7,6.3,7.3,"English, Spanish",USA,9500000,14560247
tt0101272,The Addams Family,25,PG-13,99,"Comedy, Fantasy",6.3,6,5.9,6.8,English,USA,30000000,191502426
tt0101371,Article 99,24,R,100,"Drama, Comedy",6.2,5.2,5.9,6,English,USA,18000000,6375979
tt0101373,At Play in the Fields of the Lord,25,R,189,"Drama, Romance",6.7,6.7,5.8,6.8,English,"USA, Brazil",36000000,1345903
tt0101393,Backdraft,25,R,137,"Action, Crime, Drama",6.9,5.2,6.2,6.7,English,USA,75000000,152368585
tt0101410,Barton Fink,25,R,116,"Comedy, Drama, Mystery",7.4,7.2,6.3,7.7,English,"USA, UK",9000000,6153939
tt0101414,Beauty and the Beast,25,G,84,"Animation, Family, Fantasy",7.2,7.5,7.3,8,"English, French",USA,25000000,377350553
tt0101507,Boyz n the Hood,25,R,112,"Crime, Drama",6.6,6.5,7.4,7.8,English,USA,6500000,57504069
tt0101540,Cape Fear,25,R,128,"Crime, Thriller",7.7,6.6,6.4,7.3,English,USA,35000000,182300000
tt0101587,City Slickers,25,PG-13,113,Comedy,5.5,6.1,6.2,6.7,English,USA,26000000,124033791
tt0101615,Cool as Ice,25,PG,91,"Comedy, Music, Romance",3.4,4.7,3.5,2.8,English,USA,6000000,1193062
tt0101700,Delicatessen,25,R,99,"Comedy, Crime",7.1,7.3,6.9,7.7,French,France,4000000,13760640
tt0101701,Delirious,25,PG,96,"Comedy, Fantasy",5.9,5.7,5.8,5.7,English,USA,18000000,5546827
tt0101757,Don't Tell Mom the Babysitter's Dead,25,PG-13,102,Comedy,6,6,5.9,6,English,USA,10000000,25196249
tt0101761,The Doors,25,R,140,"Biography, Drama, Music",6.8,6.6,5.8,7.2,English,USA,38000000,34416893
tt0101764,Double Impact,25,R,110,"Action, Crime",5.2,5.6,5.1,5.4,English,USA,15000000,30102717
tt0101786,Dutch,25,PG-13,107,"Comedy, Drama",6.4,5.4,5.9,6.4,English,USA,17000000,4603929
tt0101889,The Fisher King,25,R,137,"Comedy, Drama",7,6.9,7.1,7.6,English,USA,24000000,41895491
tt0101902,For the Boys,25,R,138,"Comedy, Drama, Music",6.4,6.1,6,6.2,English,USA,40000000,23202444
tt0101917,Freddy's Dead: The Final Nightmare,25,R,89,"Comedy, Horror, Thriller",5.1,5.2,5,4.9,English,USA,11000000,34872033
tt0101921,Fried Green Tomatoes,25,PG-13,130,Drama,6.6,7.4,6.5,7.6,English,USA,11000000,80100000
tt0102034,Highlander II: The Quickening,25,R,91,"Action, Adventure, Fantasy",5.7,4.7,5.5,4,English,"UK, France, Argentina",30000000,15556340
tt0102057,Hook,25,PG,142,"Adventure, Comedy, Family",7.4,6.5,6.5,6.7,English,USA,70000000,300854823
tt0102059,Hot Shots!,25,PG-13,84,"Action, Comedy",6.3,5.8,5.9,6.7,English,USA,26000000,181096164
tt0102070,Hudson Hawk,25,R,100,"Action, Adventure, Comedy",5.7,5.7,5.9,5.7,"English, Italian",USA,65000000,17218080
tt0102116,The Indian Runner,25,R,127,Drama,7.1,6.9,6.2,7.2,English,"USA, Japan",7000000,191125
tt0102138,JFK,25,R,189,"Drama, History, Thriller",6.8,7.5,7.3,8,"English, Spanish","France, USA",40000000,205405498
tt0102175,Jungle Fever,25,R,132,"Drama, Romance",6.5,6,6.1,6.5,English,USA,14000000,32482682
tt0102266,The Last Boy Scout,25,R,105,"Action, Comedy, Crime",6.8,6.9,5.9,6.9,English,USA,29000000,59509925
tt0102395,Mannequin: On the Move,25,PG,95,"Comedy, Fantasy",4.6,4,4.5,4,English,USA,13000000,3752426
tt0102411,The Marrying Man,25,R,115,"Comedy, Music, Romance",6.8,6,5.9,5.7,English,USA,26000000,12454768
tt0102460,Mobsters,25,R,104,"Crime, Drama",5.3,6.1,5,5.8,English,USA,23000000,20246790
tt0102510,The Naked Gun 2??®: The Smell of Fear,25,PG-13,85,"Comedy, Crime",5.2,6.3,5.6,6.8,English,USA,23000000,86930411
