imdbID,budget,revnue
tt0064994,0,0
tt0066498,0,0
tt0081721,0,0
tt0088751,350000,0
tt0090008,0,0
tt0092926,0,0
tt0093309,0,0
tt0094108,0,0
tt0094376,0,0
tt0094841,0,0
tt0094997,0,0
tt0095095,NF,NF
tt0095394,0,0
tt0095450,0,0
tt0096025,0,0
tt0096056,0,0
tt0096513,0,0
tt0096752,0,0
tt0096830,0,3073994
tt0096841,0,0
tt0096857,0,0
tt0096859,0,0
tt0096971,0,0
tt0097020,0,0
tt0097038,0,0
tt0097049,0,0
tt0097062,0,0
tt0097099,0,0
tt0097140,0,0
tt0097176,0,0
tt0097178,0,0
tt0097198,0,0
tt0097253,0,0
tt0097282,NF,NF
tt0097294,NF,NF
tt0097348,0,0
tt0097394,NF,NF
tt0097405,0,0
tt0097585,0,0
tt0097619,0,0
tt0097638,0,0
tt0097667,0,0
tt0097709,0,0
tt0097720,0,0
tt0097726,0,0
tt0097769,0,0
tt0097803,NF,NF
tt0097833,0,0
tt0097848,0,0
tt0097875,0,0
tt0097968,0,0
tt0097996,0,0
tt0098030,NF,NF
tt0098063,0,0
tt0098150,0,0
tt0098214,0,0
tt0098244,0,0
tt0098294,0,0
tt0098344,0,0
tt0098422,0,0
tt0098426,0,0
tt0098459,0,0
tt0098467,0,0
tt0098486,0,0
tt0098488,0,0
tt0098505,0,0
tt0098531,0,0
tt0098532,0,0
tt0098584,0,0
tt0098606,0,0
tt0098831,0,0
tt0098961,0,0
tt0098967,0,0
tt0098970,0,0
tt0098971,0,1000000
tt0098972,0,0
tt0098986,0,0
tt0098990,0,0
tt0098999,0,0
tt0099000,0,0
tt0099009,0,0
tt0099014,0,0
tt0099021,0,0
tt0099029,NF,NF
tt0099041,0,0
tt0099045,NF,NF
tt0099048,NF,NF
tt0099053,0,0
tt0099072,0,0
tt0099075,0,0
tt0099080,0,0
tt0099081,0,0
tt0099082,NF,NF
tt0099083,0,0
tt0099087,0,0
tt0099089,0,0
tt0099098,0,0
tt0099100,0,0
tt0099103,0,0
tt0099111,0,0
tt0099114,0,0
tt0099121,0,0
tt0099127,0,0
tt0099137,0,0
tt0099138,0,0
tt0099142,33000,1624278
tt0099148,0,0
tt0099167,0,0
tt0099168,NF,NF
tt0099174,0,0
tt0099179,NF,NF
tt0099183,0,0
tt0099190,NF,NF
tt0099194,0,0
tt0099200,0,0
tt0099209,0,0
tt0099212,0,0
tt0099218,0,0
tt0099226,0,0
tt0099228,0,0
tt0099229,0,0
tt0099234,0,0
tt0099237,0,0
tt0099240,0,0
tt0099241,NF,NF
tt0099245,0,0
tt0099252,0,0
tt0099254,0,0
tt0099255,0,0
tt0099262,0,0
tt0099264,0,0
tt0099265,0,0
tt0099274,0,0
tt0099278,NF,NF
tt0099286,0,0
tt0099293,0,0
tt0099296,0,0
tt0099298,NF,NF
tt0099300,0,0
tt0099302,0,0
tt0099311,0,0
tt0099314,0,0
tt0099322,0,0
tt0099323,0,0
tt0099333,0,0
tt0099346,NF,NF
tt0099349,0,0
tt0099351,0,0
tt0099357,0,0
tt0099369,NF,NF
tt0099378,0,0
tt0099387,0,0
tt0099389,0,0
tt0099394,1,0
tt0099396,0,0
tt0099398,0,0
tt0099402,0,0
tt0099406,0,0
tt0099415,0,0
tt0099426,3500000,0
tt0099429,0,0
tt0099432,0,0
tt0099436,0,0
tt0099446,0,0
tt0099449,0,0
tt0099451,0,0
tt0099453,NF,NF
tt0099463,0,0
tt0099464,0,0
tt0099467,0,0
tt0099479,0,0
tt0099484,0,0
tt0099526,NF,NF
tt0099530,0,0
tt0099531,NF,NF
tt0099534,0,0
tt0099535,NF,NF
tt0099538,0,0
tt0099542,NF,NF
tt0099543,0,0
tt0099545,0,0
tt0099550,0,0
tt0099565,0,0
tt0099574,0,0
tt0099593,0,0
tt0099596,0,0
tt0099599,NF,NF
tt0099603,0,0
tt0099607,0,0
tt0099613,0,0
tt0099620,0,0
tt0099629,0,0
tt0099632,0,0
tt0099635,0,0
tt0099652,0,0
tt0099655,0,0
tt0099659,0,0
tt0099670,0,0
tt0099673,0,0
tt0099677,0,0
tt0099678,0,0
tt0099680,0,0
tt0099682,NF,NF
tt0099683,0,0
tt0099684,0,0
tt0099692,0,0
tt0099711,0,0
tt0099715,0,0
tt0099719,0,0
tt0099724,0,0
tt0099725,0,0
tt0099764,0,0
tt0099765,NF,NF
tt0099791,0,0
tt0099804,0,0
tt0099809,0,0
tt0099818,0,0
tt0099827,0,0
tt0099836,0,0
tt0099837,NF,NF
tt0099842,0,0
tt0099854,0,0
tt0099859,NF,NF
tt0099860,0,0
tt0099865,0,0
tt0099868,0,0
tt0099880,0,0
tt0099888,0,0
tt0099890,0,0
tt0099898,NF,NF
tt0099901,0,0
tt0099907,0,0
tt0099914,0,0
tt0099915,0,0
tt0099920,0,0
tt0099925,0,0
tt0099927,0,0
tt0099931,NF,NF
tt0099933,NF,NF
tt0099934,0,0
tt0099935,0,0
tt0099944,0,0
tt0099948,NF,NF
tt0099949,0,0
tt0099953,NF,NF
tt0099959,0,0
tt0099961,0,0
tt0099965,NF,NF
tt0099966,0,0
tt0099968,0,0
tt0099975,0,0
tt0100002,0,0
tt0100004,0,0
tt0100008,0,0
tt0100010,NF,NF
tt0100012,0,0
tt0100033,0,0
tt0100038,0,0
tt0100045,0,0
tt0100047,0,0
tt0100057,0,0
tt0100059,NF,NF
tt0100063,0,0
tt0100064,NF,NF
tt0100070,0,0
tt0100071,0,0
tt0100075,0,0
tt0100083,1497520,6137054
tt0100092,NF,NF
tt0100096,NF,NF
tt0100097,0,0
tt0100101,NF,NF
tt0100115,0,0
tt0100126,0,0
tt0100132,0,0
tt0100138,0,0
tt0100147,0,0
tt0100154,0,0
tt0100180,NF,NF
tt0100192,0,0
tt0100194,0,0
tt0100202,0,0
tt0100204,NF,NF
tt0100207,NF,NF
tt0100209,0,0
tt0100210,NF,NF
tt0100223,0,0
tt0100230,0,0
tt0100234,0,0
tt0100253,0,0
tt0100264,0,0
tt0100267,0,0
tt0100269,0,0
tt0100272,0,0
tt0100274,0,0
tt0100277,0,0
tt0100288,0,0
tt0100299,0,0
tt0100303,0,0
tt0100306,0,0
tt0100315,0,0
tt0100319,0,0
tt0100320,0,0
tt0100333,0,0
tt0100334,0,0
tt0100337,0,0
tt0100346,0,0
tt0100349,0,0
tt0100350,0,0
tt0100351,0,0
tt0100352,0,0
tt0100353,0,0
tt0100356,0,0
tt0100357,0,0
tt0100361,0,0
tt0100376,0,0
tt0100380,0,0
tt0100384,0,0
tt0100385,0,0
tt0100388,0,0
tt0100390,NF,NF
tt0100401,0,0
tt0100424,NF,NF
tt0100425,0,0
tt0100428,0,0
tt0100432,0,0
tt0100450,NF,NF
tt0100453,0,0
tt0100454,0,0
tt0100457,0,0
tt0100479,0,0
tt0100481,NF,NF
tt0100489,NF,NF
tt0100491,0,295444
tt0100496,0,0
tt0100501,0,0
tt0100505,0,0
tt0100508,0,0
tt0100511,0,0
tt0100534,0,0
tt0100536,0,0
tt0100537,0,0
tt0100540,0,0
tt0100541,0,0
tt0100555,0,0
tt0100563,0,0
tt0100566,0,0
tt0100567,0,0
tt0100581,0,0
tt0100583,NF,NF
tt0100587,0,0
tt0100591,NF,NF
tt0100592,0,0
tt0100593,0,0
tt0100600,0,0
tt0100605,0,0
tt0100619,0,0
tt0100621,0,0
tt0100623,0,0
tt0100624,0,0
tt0100625,0,0
tt0100627,0,0
tt0100636,0,0
tt0100639,0,0
tt0100650,0,0
tt0100660,0,0
tt0100662,0,0
tt0100663,0,0
tt0100667,0,0
tt0100674,0,0
tt0100678,0,0
tt0100683,0,0
tt0100686,0,0
tt0100692,0,0
tt0100694,0,0
tt0100697,0,0
tt0100699,0,0
tt0100701,0,0
tt0100709,0,0
tt0100711,0,0
tt0100712,0,0
tt0100714,0,0
tt0100715,0,0
tt0100725,0,0
tt0100732,0,0
tt0100738,NF,NF
tt0100746,0,0
tt0100757,0,0
tt0100760,NF,NF
tt0100763,0,0
tt0100777,0,0
tt0100780,0,0
tt0100784,0,0
tt0100793,0,0
tt0100813,0,0
tt0100820,0,0
tt0100835,0,0
tt0100840,0,0
tt0100847,0,0
tt0100848,0,0
tt0100853,NF,NF
tt0100869,0,0
tt0100878,NF,NF
tt0100884,NF,NF
tt0100889,0,0
tt0100895,0,0
tt0100902,0,0
tt0100909,0,0
tt0100910,0,0
tt0100912,0,0
tt0100921,0,0
tt0100923,0,0
tt0100929,0,0
tt0100935,9500000,14560247
tt0100945,0,0
tt0100954,0,0
tt0100956,0,0
tt0100959,0,0
tt0100974,0,0
tt0100987,0,0
tt0100991,0,0
tt0100995,0,0
tt0101003,0,0
tt0101009,0,0
tt0101011,0,0
tt0101016,0,0
tt0101095,0,0
tt0101126,0,0
tt0101197,0,0
tt0101243,NF,NF
tt0101257,NF,NF
tt0101258,0,141864
tt0101263,0,0
tt0101265,0,0
tt0101271,0,0
tt0101277,0,0
tt0101279,0,0
tt0101281,0,0
tt0101283,0,0
tt0101284,0,0
tt0101290,0,0
tt0101295,0,0
tt0101306,0,0
tt0101330,0,0
tt0101332,0,0
tt0101335,NF,NF
tt0101345,0,0
tt0101348,0,0
tt0101354,0,0
tt0101355,0,0
tt0101388,0,0
tt0101394,0,0
tt0101395,NF,NF
tt0101398,0,0
tt0101402,NF,NF
tt0101407,0,0
tt0101418,0,0
tt0101426,0,0
tt0101428,0,0
tt0101429,0,0
tt0101431,0,0
tt0101435,0,0
tt0101440,0,0
tt0101442,0,0
tt0101460,0,0
tt0101463,0,0
tt0101467,0,0
tt0101473,0,0
tt0101477,0,0
tt0101479,0,0
tt0101490,0,0
tt0101493,0,0
tt0101504,0,0
tt0101505,NF,NF
tt0101506,0,0
tt0101514,0,0
tt0101519,0,0
tt0101520,0,0
tt0101526,0,0
tt0101535,0,0
tt0101541,0,0
tt0101542,0,0
tt0101544,0,0
tt0101548,0,0
tt0101563,NF,NF
tt0101564,0,0
tt0101565,0,0
tt0101569,0,0
tt0101572,0,0
tt0101574,0,0
tt0101580,0,0
tt0101584,0,0
tt0101594,0,0
