tt0098987,5.5
tt0099044,5.7
tt0099052,6
tt0099088,5.8
tt0099142,5.1
tt0099165,6.2
tt0099253,5.9
tt0099329,6.1
tt0099348,6.3
tt0099365,6.2
tt0099371,6.4
tt0099422,6.2
tt0099423,5.7
tt0099487,6.3
tt0099578,5.3
tt0099582,6.2
tt0099611,5.9
tt0099653,6
tt0099674,6.1
tt0099685,6.2
tt0099697,5.4
tt0099700,5.5
tt0099739,5.4
tt0099740,5.7
tt0099747,6.1
tt0099785,6.1
tt0099800,5.3
tt0099810,6.3
tt0099817,5.4
tt0099871,6.1
tt0099938,6
tt0100029,5.4
tt0100083,6.2
tt0100114,5.3
tt0100129,5.8
tt0100140,6.3
tt0100150,6.1
tt0100157,6.5
tt0100168,6.3
tt0100201,5.9
tt0100240,5.2
tt0100258,5.8
tt0100260,6.2
tt0100403,5.7
tt0100405,6.4
tt0100419,5.7
tt0100477,6.2
tt0100502,5.2
tt0100507,5.3
tt0100594,6
tt0100666,5.4
tt0100740,5.9
tt0100758,6.3
tt0100802,5.9
tt0100814,5.8
tt0100828,6.2
tt0100935,6.3
tt0101272,5.9
tt0101371,5.9
tt0101373,5.8
tt0101393,6.2
tt0101410,6.3
tt0101414,7.3
tt0101507,7.4
tt0101540,6.4
tt0101587,6.2
tt0101615,3.5
tt0101700,6.9
tt0101701,5.8
tt0101757,5.9
tt0101761,5.8
tt0101764,5.1
tt0101786,5.9
tt0101889,7.1
tt0101902,6
tt0101917,5
tt0101921,6.5
tt0102034,5.5
tt0102057,6.5
tt0102059,5.9
tt0102070,5.9
tt0102116,6.2
tt0102138,7.3
tt0102175,6.1
tt0102266,5.9
tt0102395,4.5
tt0102411,5.9
tt0102460,5
tt0102510,5.6
tt0102526,5.6
tt0102558,5.8
tt0102603,5.7
tt0102614,5.3
tt0102631,5.9
tt0102685,5.6
tt0102687,6.6
tt0102749,5.6
tt0102753,6.2
tt0102757,6.1
tt0102782,5.3
tt0102798,6.3
tt0102802,5.9
tt0102803,6.1
tt0102818,5.7
tt0102849,6.1
tt0102900,5.9
tt0102915,5.1
